Nome Carta,Numero Carta,Prezzo,Info Holo,Rarità,Edition,Set
Sandslash,42/147, 2.04,Non-Holo,Rare,Unlimited,Supreme Victors
Sandslash,42/147, 4.01,Reverse Holo,Rare,Unlimited,Supreme Victors
Seaking,43/147, 0.72,Non-Holo,Rare,Unlimited,Supreme Victors
Seaking,43/147, 1.05,Reverse Holo,Rare,Unlimited,Supreme Victors
Shedinja,44/147, 2.55,Non-Holo,Rare,Unlimited,Supreme Victors
Shedinja,44/147, 3.72,Reverse Holo,Rare,Unlimited,Supreme Victors
Solrock,45/147, 2.00,Non-Holo,Rare,Unlimited,Supreme Victors
Solrock,45/147, 1.69,Reverse Holo,Rare,Unlimited,Supreme Victors
Spinda,46/147, 2.76,Non-Holo,Rare,Unlimited,Supreme Victors
Spinda,46/147, 3.60,Reverse Holo,Rare,Unlimited,Supreme Victors
Wailord,47/147, 2.55,Non-Holo,Rare,Unlimited,Supreme Victors
Wailord,47/147, 4.80,Reverse Holo,Rare,Unlimited,Supreme Victors
Zapdos,48/147, 4.99,Non-Holo,Rare,Unlimited,Supreme Victors
Zapdos,48/147, 11.49,Reverse Holo,Rare,Unlimited,Supreme Victors
Altaria C,49/147, 0.75,Non-Holo,Uncommon,Unlimited,Supreme Victors
Altaria C,49/147, 3.59,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Arcanine,50/147, 4.80,Non-Holo,Uncommon,Unlimited,Supreme Victors
Arcanine,50/147, 8.04,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Bibarel,51/147, 0.97,Non-Holo,Uncommon,Unlimited,Supreme Victors
Bibarel,51/147, 0.89,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Breloom,52/147, 0.92,Non-Holo,Uncommon,Unlimited,Supreme Victors
Breloom,52/147, 2.37,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Carnivine,53/147, 0.99,Non-Holo,Uncommon,Unlimited,Supreme Victors
Carnivine,53/147, 0.85,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Chatot G,54/147,NO DATA YET!,Non-Holo,Uncommon,Unlimited,Supreme Victors
Chatot G,54/147,NO DATA YET!,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Cherrim,55/147, 3.85,Non-Holo,Uncommon,Unlimited,Supreme Victors
Cherrim,55/147, 0.99,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Dragonite FB,56/147, 6.12,Non-Holo,Uncommon,Unlimited,Supreme Victors
Dragonite FB,56/147, 8.15,Reverse Holo,Promo,League Promo,Supreme Victors
Dragonite FB,56/147, 5.55,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Drifblim,57/147, 0.94,Non-Holo,Uncommon,Unlimited,Supreme Victors
Drifblim,57/147, 1.59,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Floatzel,58/147, 0.55,Non-Holo,Uncommon,Unlimited,Supreme Victors
Floatzel,58/147, 2.04,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Gabite,59/147, 0.96,Non-Holo,Uncommon,Unlimited,Supreme Victors
Gabite,59/147, 3.99,Reverse Holo,Promo,League Promo,Supreme Victors
Gabite,59/147,NO DATA YET!,Reverse Holo,Promo,Staff States Championships,Supreme Victors
Gabite,59/147, 0.70,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Garchomp C,60/147, 6.99,Non-Holo,Uncommon,Unlimited,Supreme Victors
Garchomp C,60/147,NO DATA YET!,Reverse Holo,Promo,Regional Championships,Supreme Victors
Garchomp C,60/147,NO DATA YET!,Reverse Holo,Promo,Staff Regional Championships,Supreme Victors
Garchomp C,60/147, 14.99,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Hippopotas,61/147, 0.99,Non-Holo,Uncommon,Unlimited,Supreme Victors
Hippopotas,61/147, 1.40,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Ivysaur,62/147, 1.98,Non-Holo,Uncommon,Unlimited,Supreme Victors
Ivysaur,62/147, 5.59,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Lopunny,63/147, 1.20,Non-Holo,Uncommon,Unlimited,Supreme Victors
Lopunny,63/147, 4.00,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Loudred,64/147, 0.99,Non-Holo,Uncommon,Unlimited,Supreme Victors
Loudred,64/147, 0.80,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Magmar,65/147, 1.42,Non-Holo,Uncommon,Unlimited,Supreme Victors
Magmar,65/147, 2.70,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Manectric G,66/147,NO DATA YET!,Non-Holo,Uncommon,Unlimited,Supreme Victors
Manectric G,66/147, 0.09,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Marshtomp,67/147, 0.99,Non-Holo,Uncommon,Unlimited,Supreme Victors
Marshtomp,67/147, 3.04,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Masquerain,68/147, 0.84,Non-Holo,Uncommon,Unlimited,Supreme Victors
Masquerain,68/147, 2.10,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Metang,69/147, 0.70,Non-Holo,Uncommon,Unlimited,Supreme Victors
Metang,69/147,NO DATA YET!,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Milotic,70/147, 21.55,Non-Holo,Promo,Prerelease Stamp,Supreme Victors
Milotic,70/147, 102,Non-Holo,Promo,Staff Prerelease,Supreme Victors
Milotic,70/147, 3.28,Non-Holo,Uncommon,Unlimited,Supreme Victors
Milotic,70/147, 8.04,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Minun,71/147, 3.49,Non-Holo,Uncommon,Unlimited,Supreme Victors
Minun,71/147, 4.99,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Murkrow,72/147, 0.85,Non-Holo,Uncommon,Unlimited,Supreme Victors
Murkrow,72/147, 2.14,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Ninjask,73/147, 1.00,Non-Holo,Uncommon,Unlimited,Supreme Victors
Ninjask,73/147, 2.99,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Numel,74/147, 0.55,Non-Holo,Uncommon,Unlimited,Supreme Victors
Numel,74/147, 1.80,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Pinsir,75/147, 1.04,Non-Holo,Uncommon,Unlimited,Supreme Victors
Pinsir,75/147, 4.09,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Plusle,76/147, 0.94,Non-Holo,Uncommon,Unlimited,Supreme Victors
Plusle,76/147, 6.95,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Raichu,77/147, 2.62,Non-Holo,Uncommon,Unlimited,Supreme Victors
Raichu,77/147, 5.54,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Raticate G,78/147,NO DATA YET!,Non-Holo,Uncommon,Unlimited,Supreme Victors
Raticate G,78/147,NO DATA YET!,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Relicanth,79/147, 1.09,Non-Holo,Uncommon,Unlimited,Supreme Victors
Relicanth,79/147, 4.75,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Rhydon,80/147, 1.50,Non-Holo,Uncommon,Unlimited,Supreme Victors
Rhydon,80/147, 3.75,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Roserade,81/147, 1.05,Non-Holo,Uncommon,Unlimited,Supreme Victors
Roserade,81/147, 1.44,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Rotom,82/147, 1.81,Non-Holo,Uncommon,Unlimited,Supreme Victors
Rotom,82/147, 3.99,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Skarmory FB,83/147, 2.22,Non-Holo,Uncommon,Unlimited,Supreme Victors
Skarmory FB,83/147, 1.92,Reverse Holo,Promo,League Promo,Supreme Victors
Skarmory FB,83/147, 0.26,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Spiritomb C,84/147, 4.00,Non-Holo,Uncommon,Unlimited,Supreme Victors
Spiritomb C,84/147, 3.60,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Staravia,85/147, 0.60,Non-Holo,Uncommon,Unlimited,Supreme Victors
Staravia,85/147, 0.99,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Togekiss C,86/147, 1.55,Non-Holo,Uncommon,Unlimited,Supreme Victors
Togekiss C,86/147, 3.54,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Wailmer,87/147, 1.04,Non-Holo,Uncommon,Unlimited,Supreme Victors
Wailmer,87/147, 1.60,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Yanma,88/147, 0.72,Non-Holo,Uncommon,Unlimited,Supreme Victors
Yanma,88/147, 1.54,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Baltoy,89/147, 0.09,Non-Holo,Common,Unlimited,Supreme Victors
Baltoy,89/147, 0.94,Reverse Holo,Common,Unlimited,Supreme Victors
Beldum,90/147, 0.75,Non-Holo,Common,Unlimited,Supreme Victors
Beldum,90/147, 1.30,Reverse Holo,Common,Unlimited,Supreme Victors
Bidoof,91/147, 2.05,Non-Holo,Common,Unlimited,Supreme Victors
Bidoof,91/147, 3.89,Reverse Holo,Common,Unlimited,Supreme Victors
Buizel,92/147, 0.75,Non-Holo,Common,Unlimited,Supreme Victors
Buizel,92/147,NO DATA YET!,Reverse Holo,Common,Unlimited,Supreme Victors
Bulbasaur,93/147, 0.89,Non-Holo,Common,Unlimited,Supreme Victors
Bulbasaur,93/147, 18.85,Reverse Holo,Common,Unlimited,Supreme Victors
Buneary,94/147, 0.99,Non-Holo,Common,Unlimited,Supreme Victors
Buneary,94/147,NO DATA YET!,Reverse Holo,Common,Unlimited,Supreme Victors
Chatot,95/147, 0.92,Non-Holo,Common,Unlimited,Supreme Victors
Chatot,95/147, 0.26,Reverse Holo,Common,Unlimited,Supreme Victors
Cherubi,96/147, 0.64,Non-Holo,Common,Unlimited,Supreme Victors
Cherubi,96/147, 1.30,Reverse Holo,Common,Unlimited,Supreme Victors
Chimchar,97/147, 1.20,Non-Holo,Common,Unlimited,Supreme Victors
Chimchar,97/147, 2.09,Reverse Holo,Common,Unlimited,Supreme Victors
Chingling,98/147, 0.70,Non-Holo,Common,Unlimited,Supreme Victors
Chingling,98/147, 4.20,Reverse Holo,Common,Unlimited,Supreme Victors
Combee,99/147, 0.75,Non-Holo,Common,Unlimited,Supreme Victors
Combee,99/147, 1.09,Reverse Holo,Common,Unlimited,Supreme Victors
Corphish,100/147, 0.09,Non-Holo,Common,Unlimited,Supreme Victors
Corphish,100/147, 2.09,Reverse Holo,Common,Unlimited,Supreme Victors
Croagunk,101/147, 0.50,Non-Holo,Common,Unlimited,Supreme Victors
Croagunk,101/147, 1.59,Reverse Holo,Common,Unlimited,Supreme Victors
Doduo,102/147, 0.09,Non-Holo,Common,Unlimited,Supreme Victors
Doduo,102/147,NO DATA YET!,Reverse Holo,Common,Unlimited,Supreme Victors
Drifloon,103/147, 0.55,Non-Holo,Common,Unlimited,Supreme Victors
Drifloon,103/147, 4.04,Reverse Holo,Common,Unlimited,Supreme Victors
Feebas,104/147, 0.99,Non-Holo,Common,Unlimited,Supreme Victors
Feebas,104/147, 2.71,Reverse Holo,Common,Unlimited,Supreme Victors
Geodude,105/147, 1.00,Non-Holo,Common,Unlimited,Supreme Victors
Geodude,105/147, 1.70,Reverse Holo,Common,Unlimited,Supreme Victors
Gible,106/147, 1.04,Non-Holo,Common,Unlimited,Supreme Victors
Gible,106/147,NO DATA YET!,Reverse Holo,Promo,City Championships,Supreme Victors
Gible,106/147,NO DATA YET!,Reverse Holo,Promo,Staff City Championships,Supreme Victors
Gible,106/147,NO DATA YET!,Reverse Holo,Common,Unlimited,Supreme Victors
Goldeen,107/147, 0.99,Non-Holo,Common,Unlimited,Supreme Victors
Goldeen,107/147,NO DATA YET!,Reverse Holo,Common,Unlimited,Supreme Victors
Growlithe,108/147, 2.17,Non-Holo,Common,Unlimited,Supreme Victors
Growlithe,108/147, 2.80,Reverse Holo,Common,Unlimited,Supreme Victors
Kricketot,109/147, 0.09,Non-Holo,Common,Unlimited,Supreme Victors
Kricketot,109/147, 0.77,Reverse Holo,Common,Unlimited,Supreme Victors
Magikarp,110/147, 1.19,Non-Holo,Common,Unlimited,Supreme Victors
Magikarp,110/147, 8.09,Reverse Holo,Common,Unlimited,Supreme Victors
Magnemite,111/147, 0.55,Non-Holo,Common,Unlimited,Supreme Victors
Magnemite,111/147, 1.00,Reverse Holo,Common,Unlimited,Supreme Victors
Mankey,112/147, 0.70,Non-Holo,Common,Unlimited,Supreme Victors
Mankey,112/147, 1.00,Reverse Holo,Common,Unlimited,Supreme Victors
Meditite,113/147, 0.90,Non-Holo,Common,Unlimited,Supreme Victors
Meditite,113/147,NO DATA YET!,Reverse Holo,Common,Unlimited,Supreme Victors
Meowth,114/147, 0.70,Non-Holo,Common,Unlimited,Supreme Victors
Meowth,114/147,NO DATA YET!,Reverse Holo,Common,Unlimited,Supreme Victors
Mime Jr.,115/147, 1.20,Non-Holo,Common,Unlimited,Supreme Victors
Mime Jr.,115/147, 1.50,Reverse Holo,Common,Unlimited,Supreme Victors
Mudkip,116/147, 1.04,Non-Holo,Common,Unlimited,Supreme Victors
Mudkip,116/147, 24.04,Reverse Holo,Common,Unlimited,Supreme Victors
Nincada,117/147, 0.99,Non-Holo,Common,Unlimited,Supreme Victors
Nincada,117/147, 0.88,Reverse Holo,Common,Unlimited,Supreme Victors
Pachirisu,118/147, 0.55,Non-Holo,Common,Unlimited,Supreme Victors
Pachirisu,118/147, 4.09,Reverse Holo,Common,Unlimited,Supreme Victors
Paras,119/147, 3.00,Non-Holo,Common,Unlimited,Supreme Victors
Paras,119/147, 0.98,Reverse Holo,Common,Unlimited,Supreme Victors
Pikachu,120/147, 2.05,Non-Holo,Common,Unlimited,Supreme Victors
Pikachu,120/147, 1.10,Reverse Holo,Common,Unlimited,Supreme Victors
Piplup,121/147, 2.00,Non-Holo,Common,Unlimited,Supreme Victors
Piplup,121/147, 13.54,Reverse Holo,Common,Unlimited,Supreme Victors
Rhyhorn,122/147, 0.99,Non-Holo,Common,Unlimited,Supreme Victors
Rhyhorn,122/147,NO DATA YET!,Reverse Holo,Common,Unlimited,Supreme Victors
Roselia,123/147, 0.45,Non-Holo,Common,Unlimited,Supreme Victors
Roselia,123/147, 1.04,Reverse Holo,Common,Unlimited,Supreme Victors
Sandshrew,124/147, 1.52,Non-Holo,Common,Unlimited,Supreme Victors
Sandshrew,124/147,NO DATA YET!,Reverse Holo,Common,Unlimited,Supreme Victors
Seel,125/147, 0.80,Non-Holo,Common,Unlimited,Supreme Victors
Seel,125/147, 1.09,Reverse Holo,Common,Unlimited,Supreme Victors
Shinx,126/147, 0.84,Non-Holo,Common,Unlimited,Supreme Victors
Shinx,126/147,NO DATA YET!,Reverse Holo,Common,Unlimited,Supreme Victors
Shroomish,127/147, 0.99,Non-Holo,Common,Unlimited,Supreme Victors
Shroomish,127/147, 2.20,Reverse Holo,Common,Unlimited,Supreme Victors
Skorupi,128/147, 0.45,Non-Holo,Common,Unlimited,Supreme Victors
Skorupi,128/147, 0.95,Reverse Holo,Common,Unlimited,Supreme Victors
Starly,129/147, 0.70,Non-Holo,Common,Unlimited,Supreme Victors
Starly,129/147, 1.52,Reverse Holo,Common,Unlimited,Supreme Victors
Surskit,130/147,NO DATA YET!,Non-Holo,Common,Unlimited,Supreme Victors
Surskit,130/147, 1.05,Reverse Holo,Common,Unlimited,Supreme Victors
Turtwig,131/147, 1.80,Non-Holo,Common,Unlimited,Supreme Victors
Turtwig,131/147,NO DATA YET!,Reverse Holo,Common,Unlimited,Supreme Victors
Whismur,132/147, 0.99,Non-Holo,Common,Unlimited,Supreme Victors
Whismur,132/147,NO DATA YET!,Reverse Holo,Common,Unlimited,Supreme Victors
Zubat,133/147, 0.70,Non-Holo,Common,Unlimited,Supreme Victors
Zubat,133/147, 2.20,Reverse Holo,Common,Unlimited,Supreme Victors
Battle Tower,134/147, 0.99,Non-Holo,Uncommon,Unlimited,Supreme Victors
Battle Tower,134/147, 1.35,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Champion's Room,135/147, 0.90,Non-Holo,Uncommon,Unlimited,Supreme Victors
Champion's Room,135/147, 2.00,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Cynthia's Guidance,136/147, 5.04,Non-Holo,Uncommon,Unlimited,Supreme Victors
Cynthia's Guidance,136/147, 0.45,Reverse Holo,Promo,League Promo,Supreme Victors
Cynthia's Guidance,136/147, 4.99,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Cyrus's Initiative,137/147, 1.32,Non-Holo,Uncommon,Unlimited,Supreme Victors
Cyrus's Initiative,137/147, 4.25,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Night Teleporter,138/147, 0.75,Non-Holo,Uncommon,Unlimited,Supreme Victors
Night Teleporter,138/147, 0.85,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Palmer's Contribution,139/147, 0.75,Non-Holo,Uncommon,Unlimited,Supreme Victors
Palmer's Contribution,139/147, 2.35,Reverse Holo,Uncommon,Unlimited,Supreme Victors
VS Seeker,140/147, 3.99,Non-Holo,Uncommon,Unlimited,Supreme Victors
VS Seeker,140/147, 2.60,Reverse Holo,Uncommon,Unlimited,Supreme Victors
Absol G,141/147, 16.52,Holo,Rare Holo Lv.X,Unlimited,Supreme Victors
Blaziken FB,142/147, 21.52,Holo,Rare Holo Lv.X,Unlimited,Supreme Victors
Charizard G,143/147, 70.00,Holo,Rare Holo Lv.X,Unlimited,Supreme Victors
Electivire FB,144/147, 12.00,Holo,Rare Holo Lv.X,Unlimited,Supreme Victors
Garchomp C,145/147, 3.27,Holo,Rare Holo Lv.X,Unlimited,Supreme Victors
Rayquaza C,146/147, 28.75,Holo,Rare Holo Lv.X,Unlimited,Supreme Victors
Staraptor FB,147/147, 14.53,Holo,Rare Holo Lv.X,Unlimited,Supreme Victors
Articuno,148/147, 59.05,Holo,Secret Rare,Unlimited,Supreme Victors
Moltres,149/147, 53.02,Holo,Secret Rare,Unlimited,Supreme Victors
Zapdos,150/147, 54.70,Holo,Secret Rare,Unlimited,Supreme Victors
Milotic,SH7, 55.91,Reverse Holo,Rare,Unlimited,Supreme Victors
Relicanth,SH8, 10.00,Reverse Holo,Rare,Unlimited,Supreme Victors
Yanma,SH9, 7.80,Reverse Holo,Rare,Unlimited,Supreme Victors
Azumarill,1/109, 9.27,Holo,Rare Holo,Unlimited,Team Rocket Returns
Azumarill,1/109, 4.04,Non-Holo,Promo,Exclusive,Team Rocket Returns
Azumarill,1/109, 20.00,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Ampharos,2/109, 17.05,Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Ampharos,2/109, 22.18,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Crobat,3/109, 17.85,Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Crobat,3/109, 24.85,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Electrode,4/109, 19.51,Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Electrode,4/109, 29.05,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Houndoom,5/109, 15.26,Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Houndoom,5/109, 22.04,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Hypno,6/109, 16.62,Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Hypno,6/109, 18.04,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Marowak,7/109, 8.51,Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Marowak,7/109, 5.03,Non-Holo,Promo,Exclusive,Team Rocket Returns
Dark Marowak,7/109, 18.00,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Octillery,8/109, 7.80,Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Octillery,8/109, 8.40,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Slowking,9/109, 8.00,Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Slowking,9/109, 15.00,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Steelix,10/109, 19.00,Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Steelix,10/109, 41.05,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Jumpluff,11/109, 8.01,Holo,Rare Holo,Unlimited,Team Rocket Returns
Jumpluff,11/109, 11.42,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Kingdra,12/109, 11.25,Holo,Rare Holo,Unlimited,Team Rocket Returns
Kingdra,12/109, 44.00,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Piloswine,13/109, 11.17,Holo,Rare Holo,Unlimited,Team Rocket Returns
Piloswine,13/109, 21.00,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Togetic,14/109, 24.04,Holo,Rare Holo,Unlimited,Team Rocket Returns
Togetic,14/109, 22.04,Reverse Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Dragonite,15/109,NO DATA YET!,Holo,Promo,Cosmos Holo,Team Rocket Returns
Dark Dragonite,15/109, 26.38,Non-Holo,Rare,Unlimited,Team Rocket Returns
Dark Dragonite,15/109, 200,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Dark Muk,16/109, 4.59,Non-Holo,Rare,Unlimited,Team Rocket Returns
Dark Muk,16/109, 24.99,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Dark Raticate,17/109, 4.55,Non-Holo,Rare,Unlimited,Team Rocket Returns
Dark Raticate,17/109, 22.49,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Dark Sandslash,18/109, 4.88,Non-Holo,Rare,Unlimited,Team Rocket Returns
Dark Sandslash,18/109, 32.04,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Dark Tyranitar,19/109, 4.73,Non-Holo,Rare,Unlimited,Team Rocket Returns
Dark Tyranitar,19/109, 108,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Dark Tyranitar,20/109, 14.17,Holo,Rare Holo,Unlimited,Team Rocket Returns
Dark Tyranitar,20/109, 5.85,Non-Holo,Rare,Unlimited,Team Rocket Returns
Dark Tyranitar,20/109, 35.00,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Delibird,21/109, 3.06,Non-Holo,Rare,Unlimited,Team Rocket Returns
Delibird,21/109, 12.65,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Furret,22/109, 3.50,Non-Holo,Rare,Unlimited,Team Rocket Returns
Furret,22/109, 27.25,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Ledian,23/109, 3.55,Non-Holo,Rare,Unlimited,Team Rocket Returns
Ledian,23/109, 16.71,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Magby,24/109, 5.02,Non-Holo,Rare,Unlimited,Team Rocket Returns
Magby,24/109, 14.78,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Misdreavus,25/109, 3.04,Non-Holo,Rare,Unlimited,Team Rocket Returns
Misdreavus,25/109, 12.50,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Quagsire,26/109, 1.67,Non-Holo,Rare,Unlimited,Team Rocket Returns
Quagsire,26/109, 19.05,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Qwilfish,27/109, 3.04,Non-Holo,Rare,Unlimited,Team Rocket Returns
Qwilfish,27/109, 6.02,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Yanma,28/109, 2.27,Non-Holo,Rare,Unlimited,Team Rocket Returns
Yanma,28/109, 30.00,Reverse Holo,Rare,Unlimited,Team Rocket Returns
Dark Arbok,29/109, 1.94,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Arbok,29/109, 50.00,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Ariados,30/109, 5.04,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Ariados,30/109, 10.47,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Dragonair,31/109, 1.92,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Dragonair,31/109, 10.10,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Dragonair,32/109, 0.99,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Dragonair,32/109, 25.05,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Flaaffy,33/109, 3.35,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Flaaffy,33/109, 19.05,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Golbat,34/109, 1.70,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Golbat,34/109, 19.80,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Golduck,35/109, 1.55,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Golduck,35/109, 30.00,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Gyarados,36/109, 9.70,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Gyarados,36/109, 8.35,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Houndoom,37/109, 69.05,Holo,Promo,Prerelease Stamp,Team Rocket Returns
Dark Houndoom,37/109, 4.00,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Houndoom,37/109, 69.04,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Magcargo,38/109, 2.26,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Magcargo,38/109, 13.72,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Magneton,39/109, 1.93,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Magneton,39/109, 21.54,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Pupitar,40/109, 2.49,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Pupitar,40/109, 10.50,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Pupitar,41/109, 4.04,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Pupitar,41/109, 10.68,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Weezing,42/109, 4.05,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Dark Weezing,42/109, 18.54,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Heracross,43/109, 3.28,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Heracross,43/109, 12.33,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Magmar,44/109, 1.14,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Magmar,44/109, 12.97,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Mantine,45/109, 1.62,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Mantine,45/109, 11.04,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Rocket's Meowth,46/109, 5.50,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Rocket's Meowth,46/109, 28.00,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Rocket's Wobbuffet,47/109, 1.80,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Rocket's Wobbuffet,47/109, 12.04,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Seadra,48/109, 1.30,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Seadra,48/109, 13.05,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Skiploom,49/109, 1.55,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
Skiploom,49/109, 0.54,Reverse Holo,Uncommon,Unlimited,Team Rocket Returns
Togepi,50/109, 2.29,Non-Holo,Uncommon,Unlimited,Team Rocket Returns
